fecha,departamento,iso,admlcd,poblacion,p7,p7_cada100k
13/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
13/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
13/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
13/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
13/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
13/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
13/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
13/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
14/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
14/05/2020,Canelones,UY-CA,URUUYCA,588959,0.86,0.15
14/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
14/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
14/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
14/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
14/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
14/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
14/05/2020,Maldonado,UY-MA,URUUYMA,190078,1.57,0.83
14/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.71,0.2
14/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
14/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
14/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
14/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
14/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
14/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
14/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
14/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
14/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
15/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
15/05/2020,Canelones,UY-CA,URUUYCA,588959,1,0.17
15/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
15/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
15/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
15/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
15/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
15/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
15/05/2020,Maldonado,UY-MA,URUUYMA,190078,1.14,0.6
15/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.71,0.2
15/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
15/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
15/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
15/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
15/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
15/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
15/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
15/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
15/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
16/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
16/05/2020,Canelones,UY-CA,URUUYCA,588959,0.86,0.15
16/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
16/05/2020,Colonia,UY-CO,URUUYCO,130444,0.14,0.11
16/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
16/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
16/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
16/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
16/05/2020,Maldonado,UY-MA,URUUYMA,190078,1.14,0.6
16/05/2020,Montevideo,UY-MO,URUUYMO,1381946,1.86,0.13
16/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
16/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
16/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
16/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
16/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
16/05/2020,San José,UY-SJ,URUUYSJ,116479,0.29,0.25
16/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
16/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
16/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
17/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
17/05/2020,Canelones,UY-CA,URUUYCA,588959,0.71,0.12
17/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
17/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
17/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
17/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
17/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
17/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
17/05/2020,Maldonado,UY-MA,URUUYMA,190078,1,0.53
17/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2,0.14
17/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
17/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
17/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
17/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
17/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
17/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
17/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
17/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
17/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
18/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
18/05/2020,Canelones,UY-CA,URUUYCA,588959,0.43,0.07
18/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
18/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
18/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
18/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
18/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
18/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
18/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.57,0.3
18/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.43,0.18
18/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
18/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
18/05/2020,Rivera,UY-RV,URUUYRV,108569,0.14,0.13
18/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
18/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
18/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
18/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
18/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
18/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
19/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
19/05/2020,Canelones,UY-CA,URUUYCA,588959,0.71,0.12
19/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
19/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
19/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
19/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
19/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
19/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
19/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.71,0.38
19/05/2020,Montevideo,UY-MO,URUUYMO,1381946,1.57,0.11
19/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
19/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
19/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
19/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
19/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
19/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
19/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
19/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
19/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
20/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
20/05/2020,Canelones,UY-CA,URUUYCA,588959,1,0.17
20/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
20/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
20/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
20/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
20/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
20/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
20/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.43,0.23
20/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.29,0.17
20/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
20/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
20/05/2020,Rivera,UY-RV,URUUYRV,108569,0,0
20/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
20/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
20/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
20/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
20/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
20/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
21/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
21/05/2020,Canelones,UY-CA,URUUYCA,588959,0.57,0.1
21/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
21/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
21/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
21/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
21/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
21/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
21/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.29,0.15
21/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.14,0.16
21/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
21/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
21/05/2020,Rivera,UY-RV,URUUYRV,108569,0.29,0.26
21/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
21/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
21/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
21/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
21/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
21/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
22/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
22/05/2020,Canelones,UY-CA,URUUYCA,588959,0.43,0.07
22/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
22/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
22/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
22/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
22/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
22/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
22/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.14,0.08
22/05/2020,Montevideo,UY-MO,URUUYMO,1381946,1.71,0.12
22/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
22/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
22/05/2020,Rivera,UY-RV,URUUYRV,108569,0.43,0.39
22/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
22/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
22/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
22/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
22/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
22/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
23/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
23/05/2020,Canelones,UY-CA,URUUYCA,588959,0.43,0.07
23/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
23/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
23/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
23/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
23/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
23/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
23/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.14,0.08
23/05/2020,Montevideo,UY-MO,URUUYMO,1381946,1.86,0.13
23/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
23/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
23/05/2020,Rivera,UY-RV,URUUYRV,108569,1.71,1.58
23/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
23/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
23/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
23/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
23/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
23/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
24/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
24/05/2020,Canelones,UY-CA,URUUYCA,588959,0.43,0.07
24/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
24/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
24/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
24/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
24/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
24/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
24/05/2020,Maldonado,UY-MA,URUUYMA,190078,0.14,0.08
24/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.43,0.18
24/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
24/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
24/05/2020,Rivera,UY-RV,URUUYRV,108569,1.71,1.58
24/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
24/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
24/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
24/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
24/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
24/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
25/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
25/05/2020,Canelones,UY-CA,URUUYCA,588959,0.43,0.07
25/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
25/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
25/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
25/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
25/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
25/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
25/05/2020,Maldonado,UY-MA,URUUYMA,190078,0,0
25/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.29,0.17
25/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
25/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
25/05/2020,Rivera,UY-RV,URUUYRV,108569,4.14,3.82
25/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
25/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
25/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
25/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
25/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
25/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
26/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
26/05/2020,Canelones,UY-CA,URUUYCA,588959,0.29,0.05
26/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
26/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
26/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
26/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
26/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
26/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
26/05/2020,Maldonado,UY-MA,URUUYMA,190078,0,0
26/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.43,0.18
26/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
26/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
26/05/2020,Rivera,UY-RV,URUUYRV,108569,4.29,3.95
26/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
26/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
26/05/2020,San José,UY-SJ,URUUYSJ,116479,0,0
26/05/2020,Soriano,UY-SO,URUUYSO,89930,0,0
26/05/2020,Tacuarembó,UY-TA,URUUYTA,92993,0,0
26/05/2020,Treinta y Tres,UY-TT,URUUYTT,50504,0,0
27/05/2020,Artigas,UY-AR,URUUYAR,74570,0,0
27/05/2020,Canelones,UY-CA,URUUYCA,588959,0.14,0.02
27/05/2020,Cerro Largo,UY-CL,URUUYCL,89587,0,0
27/05/2020,Colonia,UY-CO,URUUYCO,130444,0,0
27/05/2020,Durazno,UY-DU,URUUYDU,58990,0,0
27/05/2020,Flores,UY-FS,URUUYFS,26500,0,0
27/05/2020,Florida,UY-FD,URUUYFD,69318,0,0
27/05/2020,Lavalleja,UY-LA,URUUYLA,59002,0,0
27/05/2020,Maldonado,UY-MA,URUUYMA,190078,0,0
27/05/2020,Montevideo,UY-MO,URUUYMO,1381946,2.29,0.17
27/05/2020,Paysandú,UY-PA,URUUYPA,119373,0,0
27/05/2020,Río Negro,UY-RN,URUUYRN,57874,0,0
27/05/2020,Rivera,UY-RV,URUUYRV,108569,5.43,5
27/05/2020,Rocha,UY-RO,URUUYRO,74079,0,0
27/05/2020,Salto,UY-SA,URUUYSA,132788,0,0
